source,longitude,latitude,title,propertytype,group,provider,description,address,units,url,hidden
,-71.2512898,46.8502781,Coop.Hab. Bonne entente St-Ro. ,Co-operative Housing,,,,"5280 5e Av E, Québec, QC G1H 3R6, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_bonne_entente_st_ro.html,
,-71.2324645,46.8085376,Coop.Hab. Bonne-entente ,Co-operative Housing,,,,"279 Rue Châteauguay, Québec, QC G1K 5E3, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_bonne_entente.html,
,-71.2245750,46.8164648,Coop.Hab. Botany ,Co-operative Housing,,,,"275 Rue du Parvis bureau 205, Québec, QC G1K 6G7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_botany.html,
,-71.2215396,46.8174341,Coop.Hab. Calembour ,Co-operative Housing,,,,"275 Rue des Menuisiers-Laberge, Québec, QC G1K 6N5, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_calembour.html,
,-71.2086728,46.8585338,Coop.Hab. Cambronne ,Co-operative Housing,,,,"3520 Rue du Long Sault bureau 3, Québec, QC G1E 1H6, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_cambronne.html,
,-71.2245750,46.8164648,Coop.Hab. Cap Blanc ,Co-operative Housing,,,,"275 Rue du Parvis bureau 205, Québec, QC G1K 6G7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_cap_blanc.html,
,-71.2200900,46.8164440,Coop.Hab. Centre ville Québec ,Co-operative Housing,,,,"775 Rue du Roi, Québec, QC G1K 2X8, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_centre_ville_quebec.html,
,-71.2200651,46.8142137,Coop.Hab. Chalet de Coucous ,Co-operative Housing,,,,"12 Rue du Pont, Québec, QC G1K 6N4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_chalet_de_coucous.html,
,-71.2245750,46.8164648,Coop.Hab. Champfleury ,Co-operative Housing,,,,"275 Rue du Parvis bureau 205, Québec, QC G1K 6G7, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_champfleury.html,
,-71.2292875,46.8283689,Coop.Hab. Champigny ,Co-operative Housing,,,,"1199 4e Avenue, Québec, QC G1J 3B4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_champigny.html,
